mint,symbol,migration_time,signature
8EDKLzLvrsXGk1JwHrg8S3b2KWUSqeKacsnWoYvNpump,,2026-09-24T04:51:23Z,2EApDZ2bEzWzLEd7rvRrnFof7xDtSD8DXmhMLKi1ff1fP3KAsBGGce3qo6iGWcgDDTsX3HjxHxBiNSBSm1D8UTPy
9PAeHDHe6BYWDpMinZ438Cc5ENC8m8EbKL6Tbjbppump,,2026-09-24T04:52:05Z,2uHv7Vd5Hm3EduoYNbXQKBK2pZoCv68jvxvNDjMAg35htQVG9nBtZJ4DnQdSbhUp95ahaPaerKCmcRM1ziVwaQ17
FdCQhzKRrADd5Ffmu1TPxzbUz9t89HpHm1U7YuTMpump,,2026-09-24T04:52:41Z,2bSgrR7Mq5uDZwpDp4MeekVg1FQ68c6tbEhDWA4S5CqHawCi3gysHRjH1o5KAFaBsb2pnimtPnw1vp7Za2Msh5yZ
DRGH8WQtVZUy85VtbaSgzc2WzZa25bs9W1mt1MRYpump,,2026-09-24T04:55:53Z,5JKfzszuF2XYHirPncCUqxRERaAxxVZ2fDxr1cDqyhhZgcg9mStCj4MCnSH12Jzw1KkR4kYJkifxJQkYbAkfjoVd
83HmNTWRVQ6AL9eXWniRo5GjZd7maCQ4R1as5GdNpump,,2026-09-24T04:55:54Z,4n7vVZDiZGptVzU4UE9nsuyFAhPJfEWwxeL1aAp5j9u341RFe9uvtAXZd53YdPUDoeZamvVVqLUb32zuGhpSoF33
UsbTRX63nnjnbovfu8CB8MfnGvBDuPnLn948CX2pump,,2026-09-24T04:57:01Z,4Kn8TGVbEqW9urwTw6hn7JzFS73QKm4TJurmT6ZPR2GQNFSWndhL1HgXV9NJuH8dDX5vL1bLfS1dLocX16cHhRUr
hMuDaYGu8bNj3uJsaZxbhuhYtsnxPRqXX45YrN6pump,,2026-09-24T04:57:06Z,46ABkj4J9CD3PBM9NF7vk324kEKPuoshGkELHtH8c4pgNvUgRqCouVQFvK5a8HQMU41Cnh7Jzsce2ttNq9xp3BTS
G6CpZwhz1v2Nzs8yFbkGdwFyy9c2xheygy9fKXBqpump,,2026-09-24T04:57:19Z,fEMwLuGvcFeuYCBiB85pBnwNZcd7zLPC4i5aRR1q3NT7XiajRcHPJpAaLtdUR9kKJ7HupEBPpvgjS4xzhTfqvNk
7ZrxjVHheuf8VEEGkbddbCf4RMDBP2GSkBLDU53kpump,,2026-09-24T04:58:24Z,5gv5332VYG1vdZpz6BANiWcJsTEFrii1NE219GbajQ8EvauGzXx8tD9Jg2Y2iEtm1FYUPhcfi3aVY6QFdSodP2hX
6QKY8CfXWdQu9pBvh4RAZvX5yNP58zN6pYC8FwiRpump,,2026-09-24T05:01:56Z,2z8aM3zLEd4sDnVFdG2w39yZzWyz6tm5oXbEyotkgwFC63ahKEL6NCVXFFV9GZg2gtKXRPGG4oKgZ193bvUR3VhJ
ELUxDB6GfGNAPKYWFck4deLbXqA4AGZp7eJzQ8nVpump,,2026-09-24T05:03:08Z,3X4XrFX396GS8tryQ5hMbTuCxfQvPgy8Fb87XFAkQkBBQWePf8PBBHjvKrZwTD7rnJgUt2uuQ3pQJYqo2Ywq5Bv5
HKWp72BBE7giEdVciLf6PuKgkpo9jqT9V83ximEypump,,2026-09-24T05:03:24Z,129NF41eCLHBaDzRFpHeceyCaMmvFmkudVX7LNbTZF4ktiyAZL3YZw8MgAyw1oGSNvdrQeDmErewrveJSXoWZUy1
LS5oUBxKYxWGhjypX7mQPXQkAfsVfdsGh1yKeYPpump,,2026-09-24T05:10:43Z,4feKRrT9QXyh35XKFv9viptpP2VDLiWdQjcWCSbHoUumHao9LKiFCNt9ckLwAEGuAog9BPUuk52M8ii7jaeHf2Vw
7xDddGgDWBYED33sWwjDWSHCc77TZBRtFCesDCWWpump,,2026-09-24T05:11:14Z,2xKY9hFLepY6HJ1tJtSxFumw1XwiGDBYgj8bS6vpX6BaaPZ2UeNMkbEsS4HErTXXkDduDwbkRUyvXJLQTm8x7YJE
68SVgJMajJ7YvW8fMU23jdwxCkCoFmVKdKcLMQ8qpump,,2026-09-24T05:12:16Z,bdMDLc32SjqakwmBrW3VXNPZPHCgrnsHxWSm3NFeKJq69EUd8z5KsGGuhezuab4MqsRCmpoYhqtftGNta663yf8
3QkgZ5CGd5yb8NJ7iZYvUn5qvKEuU9u9F5Xag1a4pump,,2026-09-24T05:14:34Z,vHMEhgem5P9B8q76J1UF4SfSd4VHNb9bsoD9HPPzArz2nQquAHupTehQ599zaKxZKff9L747cYaNuMsxxv2QVYD
3MPMS79faRVnM99tdHJFEwit6pRMeQQrWfmX32dmpump,,2026-09-24T05:17:18Z,7YTVWSnS8JxveRrkXTAzVfQLrnRQishEg4qnrRqk7mxqruADCKfsSbrhoHCsohME55tfEizMrYCcq6ff1CJxnUH
E6K3WCVDiG9YKJupPsh6kV5fjopNEboMpNjeAEuXpump,,2026-09-24T05:19:47Z,24CMFB6ThhdLVbYBRc5wSGPuhULKHfmdsmW1TEZq2KxgbCzpowy3YyxRx1eubSC4hSUk8HXxTMkNpJrWN39Kz5oC
EtgKpFSD82LXvJR3niwWfHz1mtn1UnDeWC9WCVfDpump,,2026-09-24T05:21:00Z,3BRsDFzbXtc8fBWJBVsUXW7DuAdUNN1RhKtgH2cxFggKLr4cntpsai1JV6vQRWnb7AZSUdfsGSC2WvdZiW5aDmCf
mDvBaZTM2Ztj9hHcx3zmtg4S1SM6LukbWact7gopump,,2026-09-24T05:22:40Z,ePNWUrPRAqjHBNU6W4mcWJh5vEcqxtm2kQmhwE7L3bkcZe9mQ7CUW1wbGugmqpQZr3K9CJdp55QRzfjNaVt97aE
E9rgrSuUwqU7rdRmaDDqGAu6Sg5bxxCnYvrtcF1pump,,2026-09-24T05:23:52Z,S9qyWaAfm3f8bUfHxoK2xwggVoPTPeS7pg3iejUD6XEUxS7duurGkhNNAoL9BKfdg5uRKSdWYsXa7RcgQDQuo28
HttM53PkTxwtH18rkuw8kLnheSUTYxv3KiD4NtEGpump,,2026-09-24T05:23:52Z,2TifpxnVf9xMSqR8xX9nxgkEb4LPWhJWc1ojQvoiLq5iv8AmawByqKEFwBDRzo12p6LC4BsWKtv5fiYDZNJ1ENYb
CzYY6YjPNUE1XAFZHwRznQcYpUqqRXNZmCE6Ct7ipump,,2026-09-24T05:24:30Z,5Be87659VLfTnACJLCZAKvrAj15SDQqNDusw8nqMQDMq5X1z8XJqYX5vX4HiyWLTVFsruaSB76hfG6WMCBZe9G6z
HriUvF1MSL47EraLqE8BqQhho3Jcv9nh463oK1kWpump,,2026-09-24T05:24:36Z,5fLrGeYMYZdwETfvfxkUoF1LESpRpGk6aQuv9ejHwjvGPJ7d3rPr9VkZgo89FwCMRNJeKq6cMkbaoU2mAn6NV3rJ
9iWEDCKd1X54fGXoKVeHMknoE5cjP5fNyhNviWxqpump,,2026-09-24T05:27:44Z,4FQK8Yt1N76LPGkPiPx2FH763ahBmMx4Cfikazfsrr7a79ttY6n7FhAmDBcU8xnE7EA3NZF8KqHbDAfPwu2nxBMM
Bt5g3A1MRkazckoAaSfpt7vMAqK6bn6WLFSkrsLcpump,,2026-09-24T05:28:33Z,5ZkNf875A67PgLRyTMzBVkJ8hxAzKf6M3Q9VQCQqwHLC3zXuK5Me5GNPNYPCJyQmpZ63RJ6cbr29c5aa1DSAEZrv
hkbbSWjt8WJsqHAp3EiMgxDv7tne5gXNcNDuvkepump,,2026-09-24T05:30:38Z,ngDGDG4zcGFTccJfc1zwzpfJAPXg9UYLaDmfAWN1k7SMwMrcbSN3hQoToQiiCfr7mGwTTsuhVcWJEpbiZmyx4oR
FKhivsstimUPv5JADynbb8PiNYHVgst5dS8CWqdhpump,,2026-09-24T05:32:58Z,3B5zDeTk5a52mhBN1TQMTRTPHVyYBxefAmr7aoL5CPJxkaJ22skQNi45qQFzNbkkjaT1gYm6UFUntH3qxJp41ne7
4sg9yoBjYjV2AnyrWU2xp1Kgb3gfrqdhWkcCdAMNpump,,2026-09-24T05:35:35Z,577cmF3Z8qUWrWM5WEEoDBEVvKkujuEDaVMCUNDR3MaQrfZ6S4swJWs9JZkej3TnKQ94CBytFSbTWNkievLCMT9a
6D1iQ6vDoZoSzipmzbK5GnmKe9hUFxdEefPXVaLcpump,,2026-09-24T05:36:33Z,53XLZgEYe2qUhuZVwew9LFjNPAHCmhSTUsCgxqtNZyoudfG6oRB49ggdk8wWeM69F2c5F7aTArJgScoYEb17aEas
k8bWpT522B5MSohAGePwD4SJVV3GNCmLuiND9eypump,,2026-09-24T05:37:43Z,5wh6CyKvduz7Qoas1F7NDfWnrXk8s7JXEkqhSS8YEWGJaFdi8igdmLcoUxjycTdjijEcp68aidT2NdtDuSq3VEZz
PoGpZnNbrJZNovVgixakese3huDTyDpE3YGZ73kpump,,2026-09-24T05:38:08Z,2ZJ9uUYtdQvcW77L9ULW7cAEzeQJiajv6fa6uFMbEyZiuEMrRSN2ui79o1AG3uLr8kW7tQivswy7KnU8A6m6jTYy
J8CZYF7d5oxgSj2aZGYepF9HQiFeRHHZYkLHkh7Mpump,,2026-09-24T05:38:52Z,24dHh5AnLpkRR5J144HSLdfT2iRS9QSwBzpfXJnvvjseeNS4JAcxBMXd9cVdqtFaXT3Wmp3jDT2oSnPdkKm9n71c
4w1qr1Nd3Zhs3c1wDd5BVceMBDSU4dzJ7dBg6L6mpump,,2026-09-24T05:39:02Z,2heLZpCTThz2VMtQ8grWvFjjT5euFTkKH7RWE7tr5mShSXT6aPmK9VUPt4YzZgtccGeq96kcuo9x9w8XCz4ztTUU
dthThSwjZHaD7F19qdcg128BTvmf9tLBwGoJuJApump,,2026-09-24T05:42:01Z,2XP5kj8wmF9yKsZ2a84qAjo9fLrPyrrdnoM3BySNJMsiT2Fpb4z4HyZBtbViH44WzitEpFL5tQ2TiuR9uM7gDDhv
Chn6ZT8HkgWfmMfykcqjUeU5o4XvvwqFG6kLv4W1pump,,2026-09-24T05:44:28Z,4ybR6ixMfo92Ft4mdtmYaWKgBhA8hJfS8mtX5vF2DvTFDHUqUrdCTwGfGJPbmJF1GSEFRzFM19shKEmciPM8JQF8
CfDHDeD4gqJzBoSvBc3Vd8XvrD436WD95AMaZGXDpump,,2026-09-24T05:47:13Z,4qRZWMD9mFzqzKSR1wywpktzQR4FKjsxRDzUnsWe42UuHSrgnTiFyqnEaX9Wex99sMcm83cqVuBWmBbHzSM6re3k
GNAgBwuwkMh3yZ3EEoZmFZMJTj2jx4uZyosoWqDBpump,,2026-09-24T05:47:32Z,2wcHBd8zoVfT9TbQ89EwHjKU9dY7k8faTgZFRCFWQEonh6SnTKuALi9uHeuVhziZnz67TUsRKZZbKWmiL56qFw3p
DwHNSqyJmYjUmFyatgbqGEGWCUyyLjM3bSCqMzGspump,,2026-09-24T05:51:10Z,4eNvTmmzf46Tzaxw8MNzgvJzp4NksqtGgooefy6ao1UHQafiycjjyMChvBxqDsCoa3FgXwmUwXS2nmiGSDfe2vg3
i5RpnDtCCoi54GuDzANAZDYYwXD45FsJpbJ4fMBpump,,2026-09-24T05:53:09Z,4mQjm1JFrFoHx3LoKi26mmDUqD84hJyFEtUguk9dSUDdLpwwn5bh8zsMiskV3mkgSr5FXuXFDDa9tr3nbCx5MAFJ
GELfawLwh3pbR95C5xUYBL6iaFTXvkKbG4Ms5cjtpump,,2026-09-24T05:58:10Z,5q6MDU5o8jPTvxDUnu1Md67HcEM9bjxhg3Mx24cRdrRHkXjU2SJAwj1z54bf8C7BzLD7Rgqres9UNBsw2Emj5PeB
ZzXufQMeR6S1gNn2bB9P4degMUnrKr9EyuQ3QCcpump,,2026-09-24T06:00:24Z,5giWeFzctq9ESvQL4U57SuBsXgLNFwsqAbqPAQcdTDdnvwJyPXn1yEKHXfF254wRaepBnraEGoUmuomtvETyyQof
9q7ZBRdH1upwgy9s5YU4mwgenMiCwbnB9DM3wqjGpump,,2026-09-24T06:01:19Z,2EREWwq2PNYLx9S6zYNZy6xuqWfKYkwL1dBZQYoT4awp6koFLcgS7cVDGdFt6ch8kjw8DwN5DbkV6jt6FwLkpUkH
tur6uEV6aiynZGbPYkNhT1YbKiVPpoMVFj2GpUvpump,,2026-09-24T06:05:04Z,4zi3VoyxueLhrdKrBP62rR5r1yFbHJyWgcNXH1p8hcEDA2X552vsviYW3wYN2zqeVarXp7a7W6DgNGY2Hbfv7CTL
At591groZXA4CbRuCw3KSzhC85uAq7vUfE5smNkUpump,,2026-09-24T06:05:09Z,31z5igZcfoCj32tKszMPbCeqtnpjtaBY1T8trMoZMyvqsGgkjJ6Lsf25uFmme7asykCj8o56ykVcmtz9L37x4xj
VA3T463SvUtBcpDSsAkhgUNo6DciMTLUr7Z4bfZpump,,2026-09-24T06:07:11Z,4NPxWY8fXZAGbiMsVVmmmo4corrLctHrm3dbVKQ4RJGrJnN7neuvg7RET4RiuY88cMPjTC824veD3Z9JXYzsoyf
Bx7Yj6mgczyCZ3e7D7sUttJ9YYxfXAEjLLzwazMbpump,,2026-09-24T06:07:12Z,5qdUJNSH4KrHWJ7eCfzf5DS8KwfnSndtEaaN5UTY1JWuWWexYB37TVUf6dXq2x2iybqaRsaCEJ7pfr3nCpx58tJ3
A5JpEzkXqHTCtgeW1zUtXKvK3p44x2rPTNUcGyTxpump,,2026-09-24T06:09:45Z,3meg7pgzDcNsHVZskWvkzETtWnAR5GjNdM8Hk65TfModnaxRfF1m8ojRtrDeMYbRCVMHTq2pp1YSYxhzaPpvo5ep
3MvWUZoP4XWPPYmFykSm5e73iXvFkXJuTRFvuzpQpump,,2026-09-24T06:11:48Z,2Jg3MdVc2SrFkryGgEMYMgMPeML11YdHLDXxjSUcdCU7FpsQPd85g5NSbyHtuMMt7155w7ce6CqzbirSkaqfoRZW
64A619jJJwYrBnrf4hoZL3SEmbNuoYc7aqWKBZzRpump,,2026-09-24T06:14:33Z,29W7v77MRgHacLitCsGEgeQCJmgkEQn3Mo9AMJQTNufoaorDnPR7BxLGXjmE17SLopvjSTzKYbVU9eK9y9HjNXc1
Beg3HHjaCuvr7DBG1YNZc7zi1eFn1g4PSWKLgDA5pump,,2026-09-24T06:14:54Z,5h97qKBAW4uqtk83XRKsD7ya87oPTfNvzZRHLVsGcGcR3DoyrfaCSQhM2GiohcZX2oKMN9eLKxv1GRG7sezpgug2
ycnQU4nLKM7pK9FgFCK2B4gEy4hqeLTZKCKgKj9pump,,2026-09-24T06:15:44Z,4KT52fMifBK2fjiBQkZtVowMj2o459ijHxVJHRzrX3GJkALrQDpPPPoaPaQwnZA9gutAtPnVcKPaooNSAA37WNhV
e1EaMZbajaVxxnZ8TN7ghx1ED8U1wi3RXtjnhNcpump,,2026-09-24T06:17:22Z,2KK1aA2Hctpje9XSUHpxUp8HeyeJjDg2aJ4fcDYaNPHfb3FdBYgbsTv2xScDdPUTruBkueNJ2Z4czF1ghTUfdomu
AvEygAtPanVzKjXAfkZvmArkKmDoGvuWyLZ31zTfpump,,2026-09-24T06:21:19Z,2eYiW65AbWswnn5dAj9gfvxuPHtoKLN4Sxam1axqP98EQMysemkWYC4vN2cGf8k8oZ3vBwgqQ3MmCVGjqz1YJNFG
E2fpk8ySoU2qAjg6jHfHV357FreTozkvRgL9GZ36pump,,2026-09-24T06:22:15Z,nTuZD2u4EjJAGhaCMb3ECQ2dj6cVfEpcCHd1hVVkejxzdgd9nbNWYJ7dQoZ9fZxQERV2P5U1DwzTvUgSePBDFTm
7PHFykj3zD4Cy1gerCdU9L44m12jUV6Dc57aCaeApump,,2026-09-24T06:22:22Z,ArRijhcxYsfL5eTGVzhERjpahGCcxA6oQjCLAiijPmDb4xBReCadvJWcyU9cksuCSkvWBf97t7SD4LCnXKbiiC2
FDCPNopGryyGHpJ4vWS5tUVDBjG5p11RQYnCC9cmpump,,2026-09-24T06:24:15Z,3KnX7j3bQ6HxFnTfjx1bNFoCshHsfQZMAg8PBw79uUR7ynvFGAsoe6qCFw8Y1JmZnH9hv37bpFhbN6btYPExU9hD
6kZDug8bEaMz23GJUxfsgHdKAbTa4zEDqSLKdgFPpump,,2026-09-24T06:24:32Z,2YzzDVE2N2wtSUDoJmpAYs3DpwmZKetiS8NuWgUzxdBBjEuujT9xSJrH6UzkoBL9EiPnfB1o3GXhgaCVFUoEWKfD
